completed_to_open_pnl_withdrawn,completed_to_open_transitions,family,open_to_completed_pnl_added,open_to_completed_transitions,paired_additional_borrow_at_10pct,paired_completed,paired_exit_cost_difference,paired_net_change,paired_price_movement,panel,split,step,tickets_in_ledger,total_book_net_change
0,0,R4,0,0,-198.52993498630124,200,-4.201648100000001,-1727.8164481000035,-1723.6148000000037,CAUSAL_PREORDER_QTY,IS,H8->H9,200,-1727.8164480999985
0,0,R4,0,0,-207.29318561643836,200,0.4532103000000003,1344.238310299997,1343.7850999999962,CAUSAL_PREORDER_QTY,IS,H9->H10,200,1344.2383102999956
-143.2769999999996,1,R4,0,0,-621.8312982739734,215,16.216231800000003,16703.3120318,16687.0958,CAUSAL_PREORDER_QTY,OOS,H1->H2,216,16560.0350318
0,0,R4,0,0,-224.62217071232806,215,8.6541574,11784.119757399998,11775.465599999998,CAUSAL_PREORDER_QTY,OOS,H2->H3,216,11784.119757399996
0,0,R4,0,0,-231.06461712328905,215,-8.907464499999996,33.4044955000012,42.3119600000004,CAUSAL_PREORDER_QTY,OOS,H3->H4,216,33.404495500006306
0,0,R4,0,0,-252.3789905589041,215,0.6662067999999923,2688.4815467999983,2687.8153399999997,CAUSAL_PREORDER_QTY,OOS,H4->H5,216,2688.4815467999942
0,0,R4,0,0,-350.91376799999887,215,4.503921199999995,5253.828921200001,5249.325000000001,CAUSAL_PREORDER_QTY,OOS,H5->H6,216,5253.828921200002
0,0,R4,0,0,-537.631717972602,215,8.988172900000004,12279.615072900002,12270.626900000001,CAUSAL_PREORDER_QTY,OOS,H6->H7,216,12279.6150729
0,0,R4,0,0,-215.84804884931674,215,12.2308026,12103.943402599994,12091.712599999995,CAUSAL_PREORDER_QTY,OOS,H7->H8,216,12103.943402599994
0,0,R4,0,0,-222.3019851232863,215,5.432830799999998,8033.288630800005,8027.855800000003,CAUSAL_PREORDER_QTY,OOS,H8->H9,216,8033.288630800002
0,0,R4,0,0,-277.92001887671364,215,-5.744900899999994,-6980.7549008999995,-6975.009999999998,CAUSAL_PREORDER_QTY,OOS,H9->H10,216,-6980.754900899992
-143.2769999999996,1,R4,0,0,-1229.282640379727,415,24.336684762000004,31161.927196762,31137.590512000002,CAUSAL_PREORDER_QTY,ALL,H1->H2,416,31018.650196762006
0,0,R4,0,0,-428.89094464383385,415,9.352197300000007,14546.7106473,14537.358450000002,CAUSAL_PREORDER_QTY,ALL,H2->H3,416,14546.710647299995
0,0,R4,0,0,-434.5767080821933,415,-10.494446699999996,-90.39183670000303,-79.89739000000412,CAUSAL_PREORDER_QTY,ALL,H3->H4,416,-90.39183670000057
0,0,R4,0,0,-464.15973065479466,415,5.839186299999994,7610.281176300004,7604.441990000004,CAUSAL_PREORDER_QTY,ALL,H4->H5,416,7610.281176300006
0,0,R4,0,0,-665.7752775068489,415,6.867859669999994,10355.683529669997,10348.815669999998,CAUSAL_PREORDER_QTY,ALL,H5->H6,416,10355.683529670001
0,0,R4,0,0,-1054.0672240246563,415,5.709183030000003,9951.153513030002,9945.44433,CAUSAL_PREORDER_QTY,ALL,H6->H7,416,9951.153513029989
0,0,R4,0,0,-417.2865164109611,415,20.80704480000001,22728.663544799998,22707.856499999998,CAUSAL_PREORDER_QTY,ALL,H7->H8,416,22728.6635448
0,0,R4,0,0,-420.83192010958754,415,1.2311826999999969,6305.472182700002,6304.240999999999,CAUSAL_PREORDER_QTY,ALL,H8->H9,416,6305.472182700003
0,0,R4,0,0,-485.213204493152,415,-5.291690599999994,-5636.516590600003,-5631.224900000002,CAUSAL_PREORDER_QTY,ALL,H9->H10,416,-5636.516590600004
0,0,R5,0,0,-611.7363586328767,200,10.299128119999997,17089.942048120007,17079.642920000006,LEGACY_FILL_QTY,IS,H1->H2,200,17089.942048120007
0,0,R5,0,0,-203.048897739726,200,3.5105496000000107,5832.0408996000015,5828.530350000003,LEGACY_FILL_QTY,IS,H2->H3,200,5832.040899600004
0,0,R5,0,0,-201.45204010958835,200,-2.3682229000000055,-374.0761019000065,-371.7078790000054,LEGACY_FILL_QTY,IS,H3->H4,200,-374.0761019000056
0,0,R5,0,0,-208.76625870657648,200,9.859136100000011,10242.480215100004,10232.621079000004,LEGACY_FILL_QTY,IS,H4->H5,200,10242.480215100004
0,0,R5,0,0,-313.90892964383585,200,1.8140464900000026,5136.32623649,5134.5121899999995,LEGACY_FILL_QTY,IS,H5->H6,200,5136.32623649
0,0,R5,0,0,-500.0261980904122,200,-3.5870720900000133,-2028.5515620900069,-2024.964490000004,LEGACY_FILL_QTY,IS,H6->H7,200,-2028.5515620900114
0,0,R5,0,0,-197.89848917807973,200,9.01744620000001,11679.287346200012,11670.26990000001,LEGACY_FILL_QTY,IS,H7->H8,200,11679.287346200013
0,0,R5,0,0,-194.70115495890596,200,-4.5639918999999995,-1627.3890919000091,-1622.8251000000073,LEGACY_FILL_QTY,IS,H8->H9,200,-1627.3890919000114
0,0,R5,0,0,-204.73621936986152,200,1.4087338999999925,2294.527333900001,2293.118599999999,LEGACY_FILL_QTY,IS,H9->H10,200,2294.527333900005
-117.34649999999964,1,R5,0,0,-653.2981937260282,215,25.9104508,25540.783750799998,25514.8733,LEGACY_FILL_QTY,OOS,H1->H2,216,25423.437250799998
0,0,R5,0,0,-231.7664219726014,215,4.7969610000000085,7755.376161000001,7750.579200000003,LEGACY_FILL_QTY,OOS,H2->H3,216,7755.376161
0,0,R5,0,0,-237.43906465753486,215,-13.827347600000007,-1833.6166225999966,-1819.7892749999987,LEGACY_FILL_QTY,OOS,H3->H4,216,-1833.6166225999987
0,0,R5,0,0,-259.77740281506846,215,-1.6275746000000044,-365.92269960000596,-364.29512500000413,LEGACY_FILL_QTY,OOS,H4->H5,216,-365.92269959999976
0,0,R5,0,0,-380.12134616438397,215,7.731452900000002,8085.073352900002,8077.3419,LEGACY_FILL_QTY,OOS,H5->H6,216,8085.073352899999
0,0,R5,0,0,-553.624008356164,215,9.661378000000013,13286.639578000006,13276.978200000003,LEGACY_FILL_QTY,OOS,H6->H7,216,13286.639578000002
0,0,R5,0,0,-224.3908562465764,215,15.389506599999994,15231.73520659999,15216.345699999994,LEGACY_FILL_QTY,OOS,H7->H8,216,15231.735206599988
0,0,R5,0,0,-232.4875039999972,215,7.275863299999999,9648.721863300005,9641.446000000002,LEGACY_FILL_QTY,OOS,H8->H9,216,9648.721863300016
0,0,R5,0,0,-284.4865541369883,215,-9.1480991,-10144.495449099997,-10135.347349999996,LEGACY_FILL_QTY,OOS,H9->H10,216,-10144.49544910001
-117.34649999999964,1,R5,0,0,-1265.0345523589049,415,36.20957892,42630.72579892001,42594.516220000005,LEGACY_FILL_QTY,ALL,H1->H2,416,42513.37929892
0,0,R5,0,0,-434.8153197123274,415,8.307510600000018,13587.417060600003,13579.109550000006,LEGACY_FILL_QTY,ALL,H2->H3,416,13587.417060600004
0,0,R5,0,0,-438.89110476712324,415,-16.19557050000001,-2207.692724500003,-2191.4971540000042,LEGACY_FILL_QTY,ALL,H3->H4,416,-2207.6927245000115
0,0,R5,0,0,-468.54366152164494,415,8.231561500000007,9876.557515499997,9868.325954,LEGACY_FILL_QTY,ALL,H4->H5,416,9876.557515500012
0,0,R5,0,0,-694.0302758082198,415,9.545499390000005,13221.399589390003,13211.854089999999,LEGACY_FILL_QTY,ALL,H5->H6,416,13221.39958939
0,0,R5,0,0,-1053.6502064465762,415,6.07430591,11258.088015909998,11252.01371,LEGACY_FILL_QTY,ALL,H6->H7,416,11258.08801590999
0,0,R5,0,0,-422.2893454246561,415,24.406952800000006,26911.0225528,26886.615600000005,LEGACY_FILL_QTY,ALL,H7->H8,416,26911.0225528
0,0,R5,0,0,-427.18865895890315,415,2.7118713999999997,8021.332771399995,8018.620899999994,LEGACY_FILL_QTY,ALL,H8->H9,416,8021.33277139999
0,0,R5,0,0,-489.2227735068498,415,-7.739365200000006,-7849.968115199997,-7842.228749999997,LEGACY_FILL_QTY,ALL,H9->H10,416,-7849.968115199983
0,0,R5,0,0,-611.4734043726027,200,10.259751019999996,17010.817571020005,17000.55782,CAUSAL_PREORDER_QTY,IS,H1->H2,200,17010.81757102001
0,0,R5,0,0,-202.93186780821858,200,3.4479574000000133,5757.635557400002,5754.187600000003,CAUSAL_PREORDER_QTY,IS,H2->H3,200,5757.635557400001
0,0,R5,0,0,-201.35537805479402,200,-2.3441708000000063,-386.54509980000637,-384.2009290000056,CAUSAL_PREORDER_QTY,IS,H3->H4,200,-386.54509980000876
0,0,R5,0,0,-208.6699509120566,200,9.931018700000003,10339.089847700005,10329.158829000004,CAUSAL_PREORDER_QTY,IS,H4->H5,200,10339.089847700008
0,0,R5,0,0,-313.8979389041095,200,1.8338552900000078,5147.924945289998,5146.091089999999,CAUSAL_PREORDER_QTY,IS,H5->H6,200,5147.924945289997
0,0,R5,0,0,-499.5730843095888,200,-3.6231695900000216,-2076.930859590003,-2073.3076900000024,CAUSAL_PREORDER_QTY,IS,H6->H7,200,-2076.9308595900075
0,0,R5,0,0,-197.78887358903984,200,9.001105500000019,11645.182605500007,11636.181500000008,CAUSAL_PREORDER_QTY,IS,H7->H8,200,11645.182605500013
0,0,R5,0,0,-194.60087865753613,200,-4.6994015,-1802.1959015000089,-1797.4965000000075,CAUSAL_PREORDER_QTY,IS,H8->H9,200,-1802.1959015000102
0,0,R5,0,0,-204.69692016438265,200,1.435275999999996,2306.1515760000016,2304.7162999999996,CAUSAL_PREORDER_QTY,IS,H9->H10,200,2306.151576000004
-115.58849999999964,1,R5,0,0,-653.1537085205483,215,25.926208300000006,25553.7802083,25527.854,CAUSAL_PREORDER_QTY,OOS,H1->H2,216,25438.191708299997
0,0,R5,0,0,-231.65658369862928,215,4.840886200000007,7797.489486200002,7792.648600000003,CAUSAL_PREORDER_QTY,OOS,H2->H3,216,7797.489486200004
0,0,R5,0,0,-237.3088470958909,215,-13.73425210000001,-1838.2945590999957,-1824.5603069999981,CAUSAL_PREORDER_QTY,OOS,H3->H4,216,-1838.2945590999952
0,0,R5,0,0,-259.61463348137005,215,-1.694912200000007,-422.02800520000534,-420.3330930000051,CAUSAL_PREORDER_QTY,OOS,H4->H5,216,-422.0280052000089
0,0,R5,0,0,-379.82365980821965,215,7.781997900000009,8138.274197900002,8130.4922000000015,CAUSAL_PREORDER_QTY,OOS,H5->H6,216,8138.274197899998
0,0,R5,0,0,-553.539598438356,215,9.717020200000002,13314.726320200003,13305.009300000002,CAUSAL_PREORDER_QTY,OOS,H6->H7,216,13314.726320200003
0,0,R5,0,0,-224.26391063013676,215,15.358094099999999,15191.80619409999,15176.448099999994,CAUSAL_PREORDER_QTY,OOS,H7->H8,216,15191.80619409999
0,0,R5,0,0,-232.35267005479346,215,7.228962300000003,9595.622362300006,9588.393400000004,CAUSAL_PREORDER_QTY,OOS,H8->H9,216,9595.622362300011
0,0,R5,0,0,-284.23211180822165,215,-9.0878121,-10079.559562099997,-10070.471749999999,CAUSAL_PREORDER_QTY,OOS,H9->H10,216,-10079.559562099996
-115.58849999999964,1,R5,0,0,-1264.627112893151,415,36.18595932,42564.59777932,42528.41182,CAUSAL_PREORDER_QTY,ALL,H1->H2,416,42449.00927932
0,0,R5,0,0,-434.58845150684783,415,8.288843600000021,13555.125043600003,13546.836200000005,CAUSAL_PREORDER_QTY,ALL,H2->H3,416,13555.125043600005
0,0,R5,0,0,-438.66422515068496,415,-16.078422900000014,-2224.839658900002,-2208.761236000004,CAUSAL_PREORDER_QTY,ALL,H3->H4,416,-2224.839658900004
0,0,R5,0,0,-468.28458439342666,415,8.236106499999996,9917.0618425,9908.825735999999,CAUSAL_PREORDER_QTY,ALL,H4->H5,416,9917.0618425
0,0,R5,0,0,-693.7215987123292,415,9.615853190000017,13286.199143189999,13276.58329,CAUSAL_PREORDER_QTY,ALL,H5->H6,416,13286.199143189995
0,0,R5,0,0,-1053.112682747945,415,6.093850609999981,11237.795460610001,11231.70161,CAUSAL_PREORDER_QTY,ALL,H6->H7,416,11237.795460609996
0,0,R5,0,0,-422.0527842191766,415,24.359199600000018,26836.9887996,26812.6296,CAUSAL_PREORDER_QTY,ALL,H7->H8,416,26836.988799600003
0,0,R5,0,0,-426.95354871232956,415,2.529560800000003,7793.426460799997,7790.896899999996,CAUSAL_PREORDER_QTY,ALL,H8->H9,416,7793.4264608000085
0,0,R5,0,0,-488.9290319726043,415,-7.652536100000004,-7773.4079860999955,-7765.75545,CAUSAL_PREORDER_QTY,ALL,H9->H10,416,-7773.407986100006
