account_view,hold,legacy_id,model,month,month_end_equity,monthly_pnl,monthly_return_pct,prior_month_end_equity
FIXED_DOLLAR,10,C1,Rank-One 1.50x Reallocation,2025-05,165246.14179663386,11172.57459949996,7.251454485508786,154073.5671971339
FIXED_DOLLAR,10,C1,Rank-One 1.50x Reallocation,2025-06,194747.7249268337,29501.58313019984,17.853114638226792,165246.14179663386
FIXED_DOLLAR,10,C1,Rank-One 1.50x Reallocation,2025-07,204704.9307818338,9957.205855000095,5.112874031643242,194747.7249268337
FIXED_DOLLAR,10,C1,Rank-One 1.50x Reallocation,2025-08,202093.34480883385,-2611.58597299995,-1.2757806873656954,204704.9307818338
EQUITY_SCALED,10,C2,Off-High Substitution,2024-09,84570.90626439994,-15429.093735600065,-15.429093735600066,100000.0
EQUITY_SCALED,10,C2,Off-High Substitution,2024-10,106195.58777499996,21624.68151060003,25.56988267690224,84570.90626439994
EQUITY_SCALED,10,C2,Off-High Substitution,2024-11,111947.05598829994,5751.468213299973,5.415920127949002,106195.58777499996
EQUITY_SCALED,10,C2,Off-High Substitution,2024-12,38403.16771589991,-73543.88827240003,-65.69524104330749,111947.05598829994
EQUITY_SCALED,10,C2,Off-High Substitution,2025-01,60545.80072149993,22142.633005600022,57.65835039809072,38403.16771589991
EQUITY_SCALED,10,C2,Off-High Substitution,2025-02,75080.06983149993,14534.269110000001,24.00541232719853,60545.80072149993
EQUITY_SCALED,10,C2,Off-High Substitution,2025-03,71972.2386237559,-3107.831207744035,-4.1393557767312315,75080.06983149993
EQUITY_SCALED,10,C2,Off-High Substitution,2025-04,94896.89992435582,22924.661300599924,31.852088720543385,71972.2386237559
EQUITY_SCALED,10,C2,Off-High Substitution,2025-05,109079.22665905568,14182.326734699862,14.944984236581881,94896.89992435582
EQUITY_SCALED,10,C2,Off-High Substitution,2025-06,138157.4991524556,29078.272493399912,26.657937889758454,109079.22665905568
EQUITY_SCALED,10,C2,Off-High Substitution,2025-07,155157.24225745568,16999.74310500009,12.304611193230286,138157.4991524556
EQUITY_SCALED,10,C2,Off-High Substitution,2025-08,143472.24896585575,-11684.993291599938,-7.531065338355771,155157.24225745568
FIXED_DOLLAR,10,C2,Off-High Substitution,2024-09,84956.03264459998,-15043.967355400018,-15.043967355400017,100000.0
FIXED_DOLLAR,10,C2,Off-High Substitution,2024-10,109065.83698499994,24109.80434039996,28.37915518166848,84956.03264459998
FIXED_DOLLAR,10,C2,Off-High Substitution,2024-11,115290.55367689987,6224.716691899928,5.707301996642658,109065.83698499994
FIXED_DOLLAR,10,C2,Off-High Substitution,2024-12,48922.359834899886,-66368.19384199998,-57.566029241212505,115290.55367689987
FIXED_DOLLAR,10,C2,Off-High Substitution,2025-01,93344.08098910001,44421.721154200124,90.80044647092201,48922.359834899886
FIXED_DOLLAR,10,C2,Off-High Substitution,2025-02,116294.57708410002,22950.49609500001,24.586985968269364,93344.08098910001
FIXED_DOLLAR,10,C2,Off-High Substitution,2025-03,115152.58698218808,-1141.9901019119425,-0.9819805278504918,116294.57708410002
FIXED_DOLLAR,10,C2,Off-High Substitution,2025-04,144320.73547248816,29168.148490300082,25.32999844355372,115152.58698218808
FIXED_DOLLAR,10,C2,Off-High Substitution,2025-05,159486.13981258805,15165.404340099893,10.508125731517541,144320.73547248816
FIXED_DOLLAR,10,C2,Off-High Substitution,2025-06,184887.80397978812,25401.66416720007,15.927192292101076,159486.13981258805
FIXED_DOLLAR,10,C2,Off-High Substitution,2025-07,197390.54592978797,12502.74194999985,6.762340014253534,184887.80397978812
FIXED_DOLLAR,10,C2,Off-High Substitution,2025-08,190388.95343198808,-7001.592497799895,-3.5470759072171414,197390.54592978797
EQUITY_SCALED,10,C3,Combined Reallocation and Substitution,2024-09,87200.83787490004,-12799.16212509996,-12.799162125099961,100000.0
EQUITY_SCALED,10,C3,Combined Reallocation and Substitution,2024-10,108399.69358370005,21198.85570880001,24.310380754841237,87200.83787490004
EQUITY_SCALED,10,C3,Combined Reallocation and Substitution,2024-11,115022.90568559992,6623.212101899873,6.109991534972197,108399.69358370005
EQUITY_SCALED,10,C3,Combined Reallocation and Substitution,2024-12,35259.770601399956,-79763.13508419997,-69.34543568410805,115022.90568559992
EQUITY_SCALED,10,C3,Combined Reallocation and Substitution,2025-01,56802.60097149992,21542.830370099968,61.09747738757163,35259.770601399956
EQUITY_SCALED,10,C3,Combined Reallocation and Substitution,2025-02,70900.70063149989,14098.099659999963,24.81946146633942,56802.60097149992
EQUITY_SCALED,10,C3,Combined Reallocation and Substitution,2025-03,69581.53839802793,-1319.1622334719577,-1.860577147647929,70900.70063149989
EQUITY_SCALED,10,C3,Combined Reallocation and Substitution,2025-04,92056.20093937786,22474.662541349928,32.29974941454715,69581.53839802793
EQUITY_SCALED,10,C3,Combined Reallocation and Substitution,2025-05,107995.39139997793,15939.190460600075,17.314629865180482,92056.20093937786
EQUITY_SCALED,10,C3,Combined Reallocation and Substitution,2025-06,143532.78644637807,35537.39504640014,32.90639960253656,107995.39139997793
EQUITY_SCALED,10,C3,Combined Reallocation and Substitution,2025-07,156801.36721937824,13268.580773000169,9.244285644769484,143532.78644637807
EQUITY_SCALED,10,C3,Combined Reallocation and Substitution,2025-08,148797.63974617832,-8003.7274731999205,-5.104373523734672,156801.36721937824
FIXED_DOLLAR,10,C3,Combined Reallocation and Substitution,2024-09,87678.82021689991,-12321.179783100088,-12.321179783100087,100000.0
FIXED_DOLLAR,10,C3,Combined Reallocation and Substitution,2024-10,110763.87272089992,23085.052504000007,26.3291094096524,87678.82021689991
FIXED_DOLLAR,10,C3,Combined Reallocation and Substitution,2024-11,117682.6214713999,6918.748750499988,6.246394768024842,110763.87272089992
FIXED_DOLLAR,10,C3,Combined Reallocation and Substitution,2024-12,48084.02143449974,-69598.60003690017,-59.14093276194951,117682.6214713999
FIXED_DOLLAR,10,C3,Combined Reallocation and Substitution,2025-01,92926.03062719983,44842.00919270009,93.2576100228723,48084.02143449974
FIXED_DOLLAR,10,C3,Combined Reallocation and Substitution,2025-02,116447.64684219979,23521.616214999958,25.31219299505416,92926.03062719983
FIXED_DOLLAR,10,C3,Combined Reallocation and Substitution,2025-03,117463.06085906387,1015.4140168640879,0.8719918730861886,116447.64684219979
FIXED_DOLLAR,10,C3,Combined Reallocation and Substitution,2025-04,146984.6154487637,29521.554589699837,25.132628397212287,117463.06085906387
FIXED_DOLLAR,10,C3,Combined Reallocation and Substitution,2025-05,164147.98672326357,17163.371274499863,11.676984847766409,146984.6154487637
FIXED_DOLLAR,10,C3,Combined Reallocation and Substitution,2025-06,195452.51803066354,31304.53130739997,19.07092004739367,164147.98672326357
FIXED_DOLLAR,10,C3,Combined Reallocation and Substitution,2025-07,204935.25098566356,9482.732955000014,4.851681140026201,195452.51803066354
FIXED_DOLLAR,10,C3,Combined Reallocation and Substitution,2025-08,200366.47504426356,-4568.775941400003,-2.2293753365640425,204935.25098566356
FIXED_DOLLAR,10,PARENT,Equal-Dollar Short,2024-09,88483.24157479996,-11516.758425200038,-11.516758425200038,100000.0
FIXED_DOLLAR,10,PARENT,Equal-Dollar Short,2024-10,107821.71908909993,19338.47751429997,21.85552560023702,88483.24157479996
FIXED_DOLLAR,10,PARENT,Equal-Dollar Short,2024-11,101618.74998930003,-6202.969099799899,-5.752986645180449,107821.71908909993
FIXED_DOLLAR,10,PARENT,Equal-Dollar Short,2024-12,55182.06440159991,-46436.68558770012,-45.69696595617411,101618.74998930003
FIXED_DOLLAR,10,PARENT,Equal-Dollar Short,2025-01,87193.15186119992,32011.087459600007,58.00994907807744,55182.06440159991
FIXED_DOLLAR,10,PARENT,Equal-Dollar Short,2025-02,118573.57257619986,31380.420714999942,35.98954739582469,87193.15186119992
FIXED_DOLLAR,10,PARENT,Equal-Dollar Short,2025-03,133452.9977380558,14879.425161855936,12.54868588217147,118573.57257619986
FIXED_DOLLAR,10,PARENT,Equal-Dollar Short,2025-04,160193.27529605577,26740.277557999972,20.037225098896858,133452.9977380558
FIXED_DOLLAR,10,PARENT,Equal-Dollar Short,2025-05,167141.11096935585,6947.835673300084,4.337158136294845,160193.27529605577
FIXED_DOLLAR,10,PARENT,Equal-Dollar Short,2025-06,175872.62379915582,8731.512829799962,5.224036611435964,167141.11096935585
FIXED_DOLLAR,10,PARENT,Equal-Dollar Short,2025-07,190088.77172415602,14216.147925000201,8.08320682202072,175872.62379915582
FIXED_DOLLAR,10,PARENT,Equal-Dollar Short,2025-08,184572.75236575617,-5516.019358399848,-2.901812299783978,190088.77172415602
