book,side,mode,date,pnl,equity,cash,gross,target,unused_headroom,cohorts,tickets,stale_gross,overdue_tickets
L5_REC_NORM8,long,OOS,2025-12-05,-1380.2699999999895,84203.92954439996,42808.879544399955,41395.05,84203.92954439996,42808.879544399955,1,8,0.0,0
L5_REC_NORM8,long,OOS,2025-12-08,114.34500000000116,84318.27454439996,42808.879544399955,41509.395000000004,84318.27454439996,42808.879544399955,1,8,0.0,0
L5_REC_NORM8,long,OOS,2025-12-09,352.7350000000006,84671.00954439996,42808.879544399955,41862.130000000005,84671.00954439996,42808.879544399955,1,8,0.0,0
L5_REC_NORM8,long,OOS,2025-12-10,-580.4199999999983,84090.58954439996,42808.879544399955,41281.71,84090.58954439996,42808.87954439996,1,8,0.0,0
L5_REC_NORM8,long,OOS,2025-12-11,-1582.5656790000066,82508.02386539995,1528.8064793999465,80979.217386,82508.02386539995,1528.806479399951,2,16,0.0,0
L5_REC_NORM8,long,OOS,2025-12-12,-3718.130185999995,78789.89367939996,1528.8064793999465,77261.08720000001,78789.89367939996,1528.806479399951,2,16,0.0,0
L5_REC_NORM8,long,OOS,2025-12-15,-2750.542200000011,76039.35147939995,1528.8064793999465,74510.545,76039.35147939995,1528.806479399951,2,16,0.0,0
L5_REC_NORM8,long,OOS,2025-12-16,113.12500000001455,76152.47647939996,1528.8064793999465,74623.67000000001,76152.47647939996,1528.806479399951,2,16,1469.6399999999999,0
L5_REC_NORM8,long,OOS,2025-12-17,-482.1050000000105,75670.37147939995,1528.8064793999465,74141.565,75670.37147939995,1528.806479399951,2,16,0.0,0
L5_REC_NORM8,long,OOS,2025-12-18,-456.68069500000274,75213.69078439995,64.95378439994101,75148.73700000001,75213.69078439995,64.95378439994238,2,16,0.0,0
L5_REC_NORM8,long,OOS,2025-12-19,2022.9249999999884,77236.61578439994,64.95378439994101,77171.662,77236.61578439994,64.95378439994238,2,16,1801.3020000000001,0
L5_REC_NORM8,long,OOS,2025-12-22,1362.520000000004,78599.13578439994,64.95378439994101,78534.182,78599.13578439994,64.95378439994238,2,16,1801.3020000000001,0
L5_REC_NORM8,long,OOS,2025-12-23,-776.3600000000006,77822.77578439994,64.95378439994101,77757.822,77822.77578439994,64.95378439994238,2,16,1801.3020000000001,0
L5_REC_NORM8,long,OOS,2025-12-24,1688.7429907000042,79511.51877509995,357.37677509993773,79154.142,79511.51877509995,357.37677509993955,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2025-12-26,-1000.6300000000047,78510.88877509994,357.37677509993773,78153.512,78510.88877509994,357.37677509993955,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2025-12-29,-936.7550000000047,77574.13377509994,357.37677509993773,77216.757,77574.13377509994,357.37677509993955,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2025-12-30,-788.9499999999971,76785.18377509994,357.37677509993773,76427.807,76785.18377509994,357.37677509993955,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2025-12-31,-697.0338800000027,76088.14989509994,8.8168950999343,76079.333,76088.14989509994,8.816895099938847,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-02,4732.718999999997,80820.86889509993,8.8168950999343,80812.052,80820.86889509993,8.816895099938847,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-05,6235.680000000008,87056.54889509994,8.8168950999343,87047.732,87056.54889509994,8.816895099938847,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-06,1047.5899999999965,88104.13889509994,8.8168950999343,88095.322,88104.13889509994,8.816895099938847,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-07,-1198.6199999999953,86905.51889509994,8.8168950999343,86896.702,86905.51889509994,8.816895099938847,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-08,2082.173240999997,88987.69213609994,45275.00213609993,43712.69,88987.69213609994,45275.00213609994,2,9,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-09,399.9769999999844,89387.66913609992,45275.00213609993,44112.667,89387.66913609992,45275.00213609992,2,9,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-12,31.105000000010477,89418.77413609994,45275.00213609993,44143.772000000004,89418.77413609994,45275.00213609993,2,9,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-13,-771.2099999999919,88647.56413609994,45275.00213609993,43372.562000000005,88647.56413609994,45275.00213609994,2,9,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-14,943.8799999999901,89591.44413609993,45275.00213609993,44316.442,89591.44413609993,45275.00213609993,2,9,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-15,-575.0464493999898,89016.39768669994,87215.09568669995,1801.3020000000001,89016.39768669994,87215.09568669995,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-16,0.0,89016.39768669994,87215.09568669995,1801.3020000000001,89016.39768669994,87215.09568669995,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-20,0.0,89016.39768669994,87215.09568669995,1801.3020000000001,89016.39768669994,87215.09568669995,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-21,0.0,89016.39768669994,87215.09568669995,1801.3020000000001,89016.39768669994,87215.09568669995,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-22,0.0,89016.39768669994,87215.09568669995,1801.3020000000001,89016.39768669994,87215.09568669995,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-23,0.0,89016.39768669994,87215.09568669995,1801.3020000000001,89016.39768669994,87215.09568669995,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-26,0.0,89016.39768669994,87215.09568669995,1801.3020000000001,89016.39768669994,87215.09568669995,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-27,0.0,89016.39768669994,87215.09568669995,1801.3020000000001,89016.39768669994,87215.09568669995,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-28,0.0,89016.39768669994,87215.09568669995,1801.3020000000001,89016.39768669994,87215.09568669995,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-29,0.0,89016.39768669994,87215.09568669995,1801.3020000000001,89016.39768669994,87215.09568669995,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-01-30,0.0,89016.39768669994,87215.09568669995,1801.3020000000001,89016.39768669994,87215.09568669995,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-02,0.0,89016.39768669994,87215.09568669995,1801.3020000000001,89016.39768669994,87215.09568669995,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-03,0.0,89016.39768669994,87215.09568669995,1801.3020000000001,89016.39768669994,87215.09568669995,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-04,0.0,89016.39768669994,87215.09568669995,1801.3020000000001,89016.39768669994,87215.09568669995,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-05,37.720155000002705,89054.11784169995,42707.38084169994,46346.737,89054.11784169995,42707.380841699945,2,9,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-06,4191.901799999992,93246.01964169994,42707.38084169994,50538.6388,93246.01964169994,42707.38084169994,2,9,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-09,1705.0032000000065,94951.02284169995,42707.38084169994,52243.642,94951.02284169995,42707.380841699945,2,9,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-10,-395.48500000001513,94555.53784169993,42707.38084169994,51848.157,94555.53784169993,42707.38084169993,2,9,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-11,-3920.63499999998,90634.90284169995,42707.38084169994,47927.522000000004,90634.90284169995,42707.380841699945,2,9,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-12,-1859.1636050000088,88775.73923669994,9.067236699933346,88766.672,88775.73923669994,9.067236699935165,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-13,623.0200000000041,89398.75923669995,9.067236699933346,89389.69200000001,89398.75923669995,9.067236699935165,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-17,-181.29000000000815,89217.46923669994,9.067236699933346,89208.402,89217.46923669994,9.067236699935165,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-18,-358.65299999999115,88858.81623669995,9.067236699933346,88849.74900000001,88858.81623669995,9.067236699935165,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-19,-1132.2763125000201,87726.53992419993,6.792924199926347,87719.747,87726.53992419993,6.792924199922709,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-20,-3051.5850000000064,84674.95492419992,6.792924199926347,84668.162,84674.95492419992,6.792924199922709,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-23,-3690.024999999994,80984.92992419993,6.792924199926347,80978.137,80984.92992419993,6.792924199922709,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-24,3120.9449999999924,84105.87492419992,6.792924199926347,84099.082,84105.87492419992,6.792924199922709,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-25,3515.350000000006,87621.22492419992,6.792924199926347,87614.432,87621.22492419992,6.792924199922709,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-26,583.3568680000026,88204.58179219993,21.689792199920703,88182.892,88204.58179219993,21.689792199918884,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-02-27,-3587.470000000001,84617.11179219992,21.689792199920703,84595.422,84617.11179219992,21.689792199918884,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-03-02,3077.5007999999943,87694.61259219992,21.689792199920703,87672.9228,87694.61259219992,21.689792199918884,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-03-03,1146.3381999999983,88840.95079219992,21.689792199920703,88819.261,88840.95079219992,21.689792199918884,3,17,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-03-04,3246.9260000000068,92087.87679219992,21.689792199920703,92066.187,92087.87679219992,21.689792199918884,3,17,5500.692,1
L5_REC_NORM8,long,OOS,2026-03-05,389.4692450000002,92477.34603719992,47901.19403719992,44576.152,92477.34603719992,47901.19403719992,2,9,5500.692,1
L5_REC_NORM8,long,OOS,2026-03-06,-420.00500000000466,92057.34103719992,47901.19403719992,44156.147000000004,92057.34103719992,47901.194037199915,2,9,5500.692,1
L5_REC_NORM8,long,OOS,2026-03-09,3855.1050000000105,95912.44603719993,47901.19403719992,48011.252,95912.44603719993,47901.19403719993,2,9,5500.692,1
L5_REC_NORM8,long,OOS,2026-03-10,21.519999999989523,95933.96603719992,47901.19403719992,48032.772000000004,95933.96603719992,47901.194037199915,2,9,5500.692,1
L5_REC_NORM8,long,OOS,2026-03-11,1811.2400000000052,97745.20603719993,47901.19403719992,49844.012,97745.20603719993,47901.19403719992,2,9,5500.692,1
L5_REC_NORM8,long,OOS,2026-03-12,-1129.7430400000158,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-03-13,0.0,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-03-16,0.0,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-03-17,0.0,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-03-18,0.0,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-03-19,0.0,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-03-20,0.0,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-03-23,0.0,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-03-24,0.0,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-03-25,0.0,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-03-26,0.0,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-03-27,0.0,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-03-30,0.0,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-03-31,0.0,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-01,0.0,96615.46299719991,91114.77099719991,5500.692,96615.46299719991,91114.77099719991,2,2,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-02,-131.21662099999958,96484.24637619991,42817.1043761999,53667.142,96484.24637619991,42817.10437619991,3,10,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-06,725.0199999999895,97209.2663761999,42817.1043761999,54392.162000000004,97209.2663761999,42817.104376199895,3,10,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-07,-1500.3399999999965,95708.9263761999,42817.1043761999,52891.822,95708.9263761999,42817.1043761999,3,10,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-08,2078.600000000006,97787.52637619991,42817.1043761999,54970.422000000006,97787.52637619991,42817.1043761999,3,10,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-09,-15.276043000005302,97772.2503331999,3.2833331998972426,97768.967,97772.2503331999,3.2833331998990616,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-10,2503.0149999999994,100275.2653331999,3.2833331998972426,100271.982,100275.2653331999,3.2833331998990616,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-13,3955.1399999999994,104230.4053331999,3.2833331998972426,104227.122,104230.4053331999,3.2833331998990616,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-14,2320.221000000005,106550.6263331999,3.2833331998972426,106547.34300000001,106550.6263331999,3.2833331998990616,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-15,1356.0249999999942,107906.6513331999,3.2833331998972426,107903.368,107906.6513331999,3.2833331998990616,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-16,2590.2756549999904,110496.92698819989,1977.129988199892,108519.797,110496.92698819989,1977.1299881998857,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-17,-2410.4949999999953,108086.4319881999,1977.129988199892,106109.30200000001,108086.4319881999,1977.1299881998857,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-20,148.11000000000058,108234.5419881999,1977.129988199892,106257.41200000001,108234.5419881999,1977.1299881998857,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-21,-356.36500000000524,107878.17698819989,1977.129988199892,105901.047,107878.17698819989,1977.1299881998857,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-22,2879.2850000000035,110757.4619881999,1977.129988199892,108780.33200000001,110757.4619881999,1977.1299881998857,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-23,-3185.8837982000114,107571.57818999988,2.986189999885937,107568.592,107571.57818999988,2.9861899998795707,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-24,-2340.479999999996,105231.09818999989,2.986189999885937,105228.11200000001,105231.09818999989,2.9861899998795707,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-27,545.7549999999901,105776.85318999988,2.986189999885937,105773.867,105776.85318999988,2.9861899998795707,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-28,-867.7399999999907,104909.11318999989,2.986189999885937,104906.12700000001,104909.11318999989,2.9861899998795707,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-29,1967.9899999999907,106877.10318999988,2.986189999885937,106874.117,106877.10318999988,2.9861899998795707,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-04-30,1070.6794000000227,107947.7825899999,25.320589999896583,107922.462,107947.7825899999,25.32058999990113,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-05-01,991.0400000000081,108938.82258999991,25.320589999896583,108913.50200000001,108938.82258999991,25.32058999990113,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-05-04,421.5,109360.32258999991,25.320589999896583,109335.00200000001,109360.32258999991,25.32058999990113,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-05-05,734.6600000000035,110094.98258999991,25.320589999896583,110069.66200000001,110094.98258999991,25.32058999990113,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-05-06,-7058.380000000005,103036.60258999991,25.320589999896583,103011.282,103036.60258999991,25.32058999990113,4,18,5500.692,2
L5_REC_NORM8,long,OOS,2026-05-07,1760.2004549999838,104796.80304499989,48227.726044999894,56569.077000000005,104796.80304499989,48227.72604499989,3,10,5500.692,2
L5_REC_NORM8,long,OOS,2026-05-08,-654.7049999999872,104142.0980449999,48227.726044999894,55914.372,104142.0980449999,48227.7260449999,3,10,5500.692,2
L5_REC_NORM8,long,OOS,2026-05-11,-4086.890000000014,100055.20804499989,50948.781044999894,49106.427,100055.20804499989,50948.78104499989,2,9,1801.3020000000001,1
