book,date,pnl,equity,gross,gross_to_equity,tickets,symbols,largest_symbol_gross,largest_symbol_equity_fraction,stale_gross,new_gross,preorder_gross,pacing_scale,above_130k,excess_130k,excursion_cause,borrow_base,extra_spread
C1_R4_PREORDER,2026-08-21,-766.869999999999,151103.5777591001,98585.26000000001,0.6524349817657629,26,21,9674.279999999999,0.06402416238895027,41687.55,0.0,98603.68600000003,1.0,False,0,none,810.2898082191782,0.0
C1_R4_PREORDER,2026-08-24,2456.63,153560.2077591001,96128.63,0.6259996089013063,26,21,9064.260000000002,0.059027401253713446,41687.55,0.0,96190.41,1.0,False,0,none,263.3661095890411,0.0
C1_R4_PREORDER,2026-08-25,-1106.130000000001,152454.0777591001,97234.76000000001,0.6377970430784099,26,21,9064.260000000002,0.059455674346230794,44399.43,0.0,97292.44,1.0,False,0,none,266.39660273972606,0.0
C1_R4_PREORDER,2026-08-26,1.2350000000006887,152455.3127591001,97233.52500000001,0.6377837757195254,26,21,9064.260000000002,0.05945519271160298,41687.55,0.0,97242.22840000002,1.0,False,0,none,266.39321917808223,0.0
C1_R4_PREORDER,2026-08-27,4263.027094999998,156718.3398541001,102104.43000000001,0.6515155156381572,26,19,11012.04,0.07026644112138929,41687.55,33315.905,92932.575,1.0,False,0,none,279.73816438356164,57.42790500000001
C1_R4_PREORDER,2026-08-28,3183.590000000001,159901.9298541001,98920.84000000001,0.6186344348080021,26,19,10405.98,0.0650772633544496,41687.55,0.0,98884.48450000002,1.0,False,0,none,813.048,0.0
C1_R4_PREORDER,2026-08-31,-864.3700000000006,159037.5598541001,99785.21,0.6274317217363132,26,19,11363.04,0.07144878235320241,41687.55,0.0,99869.0512,1.0,False,0,none,0.0,0.0
C1_R5_PREORDER,2025-09-02,0.0,100000.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,none,0.0,0.0
C1_R5_PREORDER,2025-09-03,0.0,100000.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,none,0.0,0.0
C1_R5_PREORDER,2025-09-04,-31.894510000000004,99968.10549,26809.510000000002,0.26818063489941607,8,8,8302.5,0.08305148886542132,0.0,26809.510000000002,0.0,1.0,False,0,none,73.45071232876712,26.809510000000003
C1_R5_PREORDER,2025-09-05,-402.4200000000002,99565.68549,27211.93,0.2733063089565437,8,8,8403.75,0.08440407916283608,0.0,0.0,27187.065000000002,1.0,False,0,none,223.659698630137,0.0
C1_R5_PREORDER,2025-09-08,-223.7849999999994,99341.90049,27435.715,0.27617465404501446,8,8,8336.25,0.08391474250927128,0.0,0.0,27379.793,1.0,False,0,none,75.16634246575343,0.0
C1_R5_PREORDER,2025-09-09,-717.0896999999999,98624.81079,28152.8047,0.2854535737457104,8,8,8250.0,0.08365035059551672,4919.955,0.0,28134.98,1.0,False,0,none,77.13097178082192,0.0
