best_name_net,cohort_id,completed,eventual_pnl,hold,legacy_id,losers,model,positions,signal_month,winners,worst_name_net
1826.28,2025-03-26,8,6161.39,10,C2,2,Off-High Substitution,8,2025-03,6,-986.4
1982.16,2025-04-02,8,5459.96,10,C2,2,Off-High Substitution,8,2025-04,6,-225.09
4175.71,2025-04-09,8,13279.32,10,C2,2,Off-High Substitution,8,2025-04,6,-1068.88
1718.28,2025-04-16,8,1875.23,10,C2,2,Off-High Substitution,8,2025-04,6,-2011.96
1780.71,2025-04-23,7,7909.96,10,C2,0,Off-High Substitution,8,2025-04,7,459.68
2822.55,2025-04-30,7,8039.68,10,C2,2,Off-High Substitution,8,2025-04,5,-301.95
4387.54,2025-05-07,8,7569.61,10,C2,2,Off-High Substitution,8,2025-05,6,-3361.08
1933.8,2025-05-14,7,-474.51,10,C2,5,Off-High Substitution,8,2025-05,2,-1609.88
2286.29,2025-05-21,7,2698.2,10,C2,2,Off-High Substitution,8,2025-05,5,-1239.55
3495.24,2025-05-28,8,5261.15,10,C2,4,Off-High Substitution,8,2025-05,4,-2358.32
5876.59,2025-06-04,8,6873.32,10,C2,3,Off-High Substitution,8,2025-06,5,-1848.15
6691.94,2025-06-11,8,8552.4,10,C2,1,Off-High Substitution,8,2025-06,7,-8095.2
2382.6,2025-06-18,7,6954.82,10,C2,0,Off-High Substitution,8,2025-06,7,521.5
2697.89,2025-06-25,7,1837.81,10,C2,3,Off-High Substitution,8,2025-06,4,-1696.27
2824.7,2025-07-02,6,3611.07,10,C2,2,Off-High Substitution,8,2025-07,4,-1713.04
2103.82,2025-07-09,8,4802.92,10,C2,1,Off-High Substitution,8,2025-07,7,-540.27
2312.31,2025-07-16,8,7847.05,10,C2,0,Off-High Substitution,8,2025-07,8,170.14
860.2,2025-07-23,8,2001.38,10,C2,2,Off-High Substitution,8,2025-07,6,-985.68
2170.56,2025-07-30,7,-3653.17,10,C2,4,Off-High Substitution,8,2025-07,3,-5583.83
408.75,2025-08-06,8,-7359.79,10,C2,7,Off-High Substitution,8,2025-08,1,-4420.61
1336.72,2025-08-13,7,-3806.78,10,C2,5,Off-High Substitution,8,2025-08,2,-3486.72
2352.9,2025-08-20,8,3603.83,10,C2,3,Off-High Substitution,8,2025-08,5,-872.86
2109.45,2025-08-27,8,5824.11,10,C2,1,Off-High Substitution,8,2025-08,7,-986.68
1787.84,2024-09-04,8,4932.47,10,C3,3,Combined Reallocation and Substitution,8,2024-09,5,-285.52
587.79,2024-09-11,8,-12789.16,10,C3,5,Combined Reallocation and Substitution,8,2024-09,3,-8171.52
780.66,2024-09-18,8,-2379.97,10,C3,2,Combined Reallocation and Substitution,8,2024-09,6,-5966.62
1572.17,2024-09-25,8,3402.0,10,C3,3,Combined Reallocation and Substitution,8,2024-09,5,-1257.75
2364.55,2024-10-02,8,5686.04,10,C3,2,Combined Reallocation and Substitution,8,2024-10,6,-337.69
789.58,2024-10-09,8,1724.45,10,C3,2,Combined Reallocation and Substitution,8,2024-10,6,-1597.4
7191.45,2024-10-16,8,8081.35,10,C3,4,Combined Reallocation and Substitution,8,2024-10,4,-3403.4
3427.83,2024-10-23,8,4780.22,10,C3,2,Combined Reallocation and Substitution,8,2024-10,6,-2306.87
3057.04,2024-10-30,8,1651.05,10,C3,4,Combined Reallocation and Substitution,8,2024-10,4,-2399.32
3039.24,2024-11-06,7,5004.37,10,C3,2,Combined Reallocation and Substitution,8,2024-11,5,-1372.81
1282.32,2024-11-13,8,-3060.57,10,C3,4,Combined Reallocation and Substitution,8,2024-11,4,-2283.6
2941.43,2024-11-20,8,-806.12,10,C3,4,Combined Reallocation and Substitution,8,2024-11,4,-2546.25
2256.34,2024-11-27,8,5210.54,10,C3,2,Combined Reallocation and Substitution,8,2024-11,6,-635.75
3166.75,2024-12-04,8,-22703.52,10,C3,6,Combined Reallocation and Substitution,8,2024-12,2,-14406.25
801.12,2024-12-11,8,-48067.23,10,C3,5,Combined Reallocation and Substitution,8,2024-12,3,-24271.65
1371.17,2024-12-18,8,-14478.91,10,C3,7,Combined Reallocation and Substitution,8,2024-12,1,-5527.74
7347.05,2024-12-24,8,17439.35,10,C3,0,Combined Reallocation and Substitution,8,2024-12,8,788.87
4200.92,2024-12-31,8,12287.97,10,C3,1,Combined Reallocation and Substitution,8,2024-12,7,-561.88
4582.74,2025-01-08,8,11660.21,10,C3,1,Combined Reallocation and Substitution,8,2025-01,7,-90.63
3634.8,2025-01-15,8,8486.15,10,C3,2,Combined Reallocation and Substitution,8,2025-01,6,-172.04
2607.51,2025-01-22,8,4208.57,10,C3,3,Combined Reallocation and Substitution,8,2025-01,5,-405.6
1901.47,2025-01-29,8,3492.31,10,C3,2,Combined Reallocation and Substitution,8,2025-01,6,-1125.81
2396.8,2025-02-05,8,3644.59,10,C3,3,Combined Reallocation and Substitution,8,2025-02,5,-453.33
2147.62,2025-02-12,8,7342.22,10,C3,1,Combined Reallocation and Substitution,8,2025-02,7,-4.79
3293.49,2025-02-19,8,11852.0,10,C3,0,Combined Reallocation and Substitution,8,2025-02,8,375.55
2482.09,2025-02-26,8,9768.33,10,C3,0,Combined Reallocation and Substitution,8,2025-02,8,93.86
