best_name_net,cohort_id,completed,eventual_pnl,hold,legacy_id,losers,model,positions,signal_month,winners,worst_name_net
642.62,2024-09-11,8,-12122.73,9,C1,4,Rank-One 1.50x Reallocation,8,2024-09,4,-8104.85
524.36,2024-09-18,8,-3406.01,9,C1,2,Rank-One 1.50x Reallocation,8,2024-09,6,-3826.23
1317.0,2024-09-25,8,2812.63,9,C1,2,Rank-One 1.50x Reallocation,8,2024-09,6,-1134.57
1735.75,2024-10-02,8,2942.72,9,C1,2,Rank-One 1.50x Reallocation,8,2024-10,6,-726.81
820.08,2024-10-09,8,1152.8,9,C1,3,Rank-One 1.50x Reallocation,8,2024-10,5,-1633.92
6746.58,2024-10-16,8,5974.83,9,C1,5,Rank-One 1.50x Reallocation,8,2024-10,3,-2939.2
3197.39,2024-10-23,8,4726.35,9,C1,3,Rank-One 1.50x Reallocation,8,2024-10,5,-1474.38
2630.82,2024-10-30,8,-377.49,9,C1,4,Rank-One 1.50x Reallocation,8,2024-10,4,-2619.19
2973.3,2024-11-06,8,4424.94,9,C1,3,Rank-One 1.50x Reallocation,8,2024-11,5,-1843.08
1130.88,2024-11-13,8,-3212.4,9,C1,4,Rank-One 1.50x Reallocation,8,2024-11,4,-2010.56
1975.62,2024-11-20,8,-1008.0,9,C1,3,Rank-One 1.50x Reallocation,8,2024-11,5,-2479.01
2525.11,2024-11-27,8,4787.2,9,C1,2,Rank-One 1.50x Reallocation,8,2024-11,6,-796.58
2124.24,2024-12-04,8,-53493.96,9,C1,5,Rank-One 1.50x Reallocation,8,2024-12,3,-32677.84
506.3,2024-12-11,8,-49290.35,9,C1,5,Rank-One 1.50x Reallocation,8,2024-12,3,-26117.85
558.3,2024-12-18,8,-5276.68,9,C1,7,Rank-One 1.50x Reallocation,8,2024-12,1,-2026.96
1807.62,2024-12-24,8,4007.65,9,C1,0,Rank-One 1.50x Reallocation,8,2024-12,8,160.92
244.53,2024-12-31,8,1022.29,9,C1,0,Rank-One 1.50x Reallocation,8,2024-12,8,40.8
337.15,2025-01-08,8,802.53,9,C1,1,Rank-One 1.50x Reallocation,8,2025-01,7,-57.77
328.31,2025-01-15,8,711.43,9,C1,3,Rank-One 1.50x Reallocation,8,2025-01,5,-33.06
270.27,2025-01-22,8,355.85,9,C1,2,Rank-One 1.50x Reallocation,8,2025-01,6,-89.76
181.44,2025-01-29,8,213.45,9,C1,3,Rank-One 1.50x Reallocation,8,2025-01,5,-130.85
190.61,2025-02-05,8,256.8,9,C1,2,Rank-One 1.50x Reallocation,8,2025-02,6,-159.8
283.36,2025-02-12,8,991.25,9,C1,0,Rank-One 1.50x Reallocation,8,2025-02,8,15.94
346.92,2025-02-19,8,1042.62,9,C1,1,Rank-One 1.50x Reallocation,8,2025-02,7,-1.38
277.42,2025-02-26,8,1046.51,9,C1,1,Rank-One 1.50x Reallocation,8,2025-02,7,-6.2
483.28,2025-03-05,8,1295.1,9,C1,1,Rank-One 1.50x Reallocation,8,2025-03,7,-2.9
178.03,2025-03-12,8,-2152.09,9,C1,4,Rank-One 1.50x Reallocation,8,2025-03,4,-2400.38
429.71,2025-03-19,8,447.57,9,C1,3,Rank-One 1.50x Reallocation,8,2025-03,5,-86.65
288.83,2025-03-26,7,839.71,9,C1,2,Rank-One 1.50x Reallocation,8,2025-03,5,-33.71
471.72,2025-04-02,8,745.87,9,C1,1,Rank-One 1.50x Reallocation,8,2025-04,7,-195.93
603.78,2025-04-09,8,2003.47,9,C1,1,Rank-One 1.50x Reallocation,8,2025-04,7,-58.38
247.8,2025-04-16,8,85.88,9,C1,2,Rank-One 1.50x Reallocation,8,2025-04,6,-526.67
486.1,2025-04-23,7,1368.54,9,C1,0,Rank-One 1.50x Reallocation,8,2025-04,7,34.31
576.41,2025-04-30,7,915.84,9,C1,2,Rank-One 1.50x Reallocation,8,2025-04,5,-30.06
580.35,2025-05-07,8,1206.55,9,C1,3,Rank-One 1.50x Reallocation,8,2025-05,5,-349.33
307.23,2025-05-14,7,-156.3,9,C1,4,Rank-One 1.50x Reallocation,8,2025-05,3,-265.96
571.62,2025-05-21,7,1027.24,9,C1,2,Rank-One 1.50x Reallocation,8,2025-05,5,-113.6
390.78,2025-05-28,8,-157.02,9,C1,5,Rank-One 1.50x Reallocation,8,2025-05,3,-575.32
1819.86,2025-06-04,8,2244.81,9,C1,3,Rank-One 1.50x Reallocation,8,2025-06,5,-249.48
1938.89,2025-06-11,8,1668.7,9,C1,1,Rank-One 1.50x Reallocation,8,2025-06,7,-1698.54
480.32,2025-06-18,7,1475.02,9,C1,2,Rank-One 1.50x Reallocation,8,2025-06,5,-22.86
600.78,2025-06-25,7,-57.12,9,C1,3,Rank-One 1.50x Reallocation,8,2025-06,4,-678.37
565.63,2025-07-02,6,695.37,9,C1,3,Rank-One 1.50x Reallocation,8,2025-07,3,-234.49
522.88,2025-07-09,8,1028.85,9,C1,1,Rank-One 1.50x Reallocation,8,2025-07,7,-209.75
533.14,2025-07-16,8,2086.06,9,C1,0,Rank-One 1.50x Reallocation,8,2025-07,8,81.55
226.95,2025-07-23,8,294.57,9,C1,1,Rank-One 1.50x Reallocation,8,2025-07,7,-439.21
477.07,2025-07-30,7,-2176.68,9,C1,4,Rank-One 1.50x Reallocation,8,2025-07,3,-2363.36
127.62,2025-08-06,8,-1268.42,9,C1,7,Rank-One 1.50x Reallocation,8,2025-08,1,-871.23
200.97,2025-08-13,7,-737.12,9,C1,4,Rank-One 1.50x Reallocation,8,2025-08,3,-603.1
922.16,2025-08-20,8,1426.23,9,C1,3,Rank-One 1.50x Reallocation,8,2025-08,5,-102.7
473.14,2025-08-27,8,961.4,9,C1,1,Rank-One 1.50x Reallocation,8,2025-08,7,-291.6
1787.84,2024-09-04,8,4634.24,10,C1,3,Rank-One 1.50x Reallocation,8,2024-09,5,-313.44
611.1,2024-09-11,8,-13306.39,10,C1,5,Rank-One 1.50x Reallocation,8,2024-09,3,-8494.08
780.66,2024-09-18,8,-2385.39,10,C1,2,Rank-One 1.50x Reallocation,8,2024-09,6,-5977.22
1383.51,2024-09-25,8,2991.83,10,C1,3,Rank-One 1.50x Reallocation,8,2024-09,5,-1106.82
2096.92,2024-10-02,8,5043.06,10,C1,2,Rank-One 1.50x Reallocation,8,2024-10,6,-299.84
776.0,2024-10-09,8,1421.76,10,C1,2,Rank-One 1.50x Reallocation,8,2024-10,6,-1568.43
6697.67,2024-10-16,8,7522.5,10,C1,4,Rank-One 1.50x Reallocation,8,2024-10,4,-3171.35
3273.77,2024-10-23,8,7154.76,10,C1,1,Rank-One 1.50x Reallocation,8,2024-10,7,-4.21
3279.52,2024-10-30,8,1772.41,10,C1,4,Rank-One 1.50x Reallocation,8,2024-10,4,-2573.16
3370.32,2024-11-06,8,4932.22,10,C1,3,Rank-One 1.50x Reallocation,8,2024-11,5,-1522.28
1504.62,2024-11-13,8,-3592.12,10,C1,4,Rank-One 1.50x Reallocation,8,2024-11,4,-2678.04
3689.38,2024-11-20,8,-1388.03,10,C1,4,Rank-One 1.50x Reallocation,8,2024-11,4,-3182.81
2776.13,2024-11-27,8,4701.15,10,C1,3,Rank-One 1.50x Reallocation,8,2024-11,5,-774.6
3813.35,2024-12-04,8,-27343.98,10,C1,6,Rank-One 1.50x Reallocation,8,2024-12,2,-17348.21
896.19,2024-12-11,8,-53109.23,10,C1,4,Rank-One 1.50x Reallocation,8,2024-12,4,-27146.34
496.46,2024-12-18,8,-5239.98,10,C1,7,Rank-One 1.50x Reallocation,8,2024-12,1,-2002.81
4384.91,2024-12-24,8,10410.11,10,C1,0,Rank-One 1.50x Reallocation,8,2024-12,8,471.91
1624.01,2024-12-31,8,4746.57,10,C1,1,Rank-One 1.50x Reallocation,8,2024-12,7,-216.5
2202.91,2025-01-08,8,5604.79,10,C1,1,Rank-One 1.50x Reallocation,8,2025-01,7,-43.59
1965.6,2025-01-15,8,4588.91,10,C1,2,Rank-One 1.50x Reallocation,8,2025-01,6,-93.07
1448.13,2025-01-22,8,1755.05,10,C1,4,Rank-One 1.50x Reallocation,8,2025-01,4,-317.27
1306.81,2025-01-29,8,1937.93,10,C1,3,Rank-One 1.50x Reallocation,8,2025-01,5,-763.94
1374.24,2025-02-05,8,2646.15,10,C1,2,Rank-One 1.50x Reallocation,8,2025-02,6,-52.0
1733.46,2025-02-12,8,6536.57,10,C1,0,Rank-One 1.50x Reallocation,8,2025-02,8,69.27
2711.92,2025-02-19,8,7557.58,10,C1,0,Rank-One 1.50x Reallocation,8,2025-02,8,139.26
1840.68,2025-02-26,8,7241.26,10,C1,0,Rank-One 1.50x Reallocation,8,2025-02,8,69.88
2746.43,2025-03-05,8,8165.18,10,C1,1,Rank-One 1.50x Reallocation,8,2025-03,7,-14.48
1056.73,2025-03-12,8,-20995.85,10,C1,4,Rank-One 1.50x Reallocation,8,2025-03,4,-22390.79
2603.01,2025-03-19,8,3481.12,10,C1,2,Rank-One 1.50x Reallocation,8,2025-03,6,-37.62
2117.5,2025-03-26,7,6186.33,10,C1,1,Rank-One 1.50x Reallocation,8,2025-03,6,-0.5
3118.14,2025-04-02,8,4208.57,10,C1,2,Rank-One 1.50x Reallocation,8,2025-04,6,-1626.47
3129.79,2025-04-09,8,11921.61,10,C1,1,Rank-One 1.50x Reallocation,8,2025-04,7,-490.37
1443.52,2025-04-16,8,698.91,10,C1,2,Rank-One 1.50x Reallocation,8,2025-04,6,-2826.93
2938.16,2025-04-23,7,8216.35,10,C1,0,Rank-One 1.50x Reallocation,8,2025-04,7,175.16
3284.94,2025-04-30,7,5924.67,10,C1,3,Rank-One 1.50x Reallocation,8,2025-04,4,-266.18
3200.32,2025-05-07,8,4355.07,10,C1,3,Rank-One 1.50x Reallocation,8,2025-05,5,-3678.16
2200.8,2025-05-14,7,-59.2,10,C1,5,Rank-One 1.50x Reallocation,8,2025-05,2,-1833.56
3999.21,2025-05-21,7,5691.6,10,C1,2,Rank-One 1.50x Reallocation,8,2025-05,5,-1158.28
2781.81,2025-05-28,8,1569.35,10,C1,5,Rank-One 1.50x Reallocation,8,2025-05,3,-2618.87
10708.46,2025-06-04,8,13288.56,10,C1,2,Rank-One 1.50x Reallocation,8,2025-06,6,-1797.12
11976.02,2025-06-11,8,13822.65,10,C1,1,Rank-One 1.50x Reallocation,8,2025-06,7,-8043.75
3062.4,2025-06-18,7,8198.33,10,C1,1,Rank-One 1.50x Reallocation,8,2025-06,6,-31.42
3757.36,2025-06-25,7,2799.01,10,C1,3,Rank-One 1.50x Reallocation,8,2025-06,4,-2358.32
3483.8,2025-07-02,6,4449.24,10,C1,2,Rank-One 1.50x Reallocation,8,2025-07,4,-2106.72
2713.21,2025-07-09,8,5736.17,10,C1,1,Rank-One 1.50x Reallocation,8,2025-07,7,-696.76
3234.66,2025-07-16,8,13160.28,10,C1,0,Rank-One 1.50x Reallocation,8,2025-07,8,238.32
1292.68,2025-07-23,8,2339.8,10,C1,2,Rank-One 1.50x Reallocation,8,2025-07,6,-2405.0
3295.68,2025-07-30,7,-5448.73,10,C1,4,Rank-One 1.50x Reallocation,8,2025-07,3,-8476.7
546.87,2025-08-06,8,-9824.47,10,C1,7,Rank-One 1.50x Reallocation,8,2025-08,1,-5894.14
1808.51,2025-08-13,7,-5383.34,10,C1,5,Rank-One 1.50x Reallocation,8,2025-08,2,-4831.37
5288.08,2025-08-20,8,8978.56,10,C1,3,Rank-One 1.50x Reallocation,8,2025-08,5,-672.03
3045.07,2025-08-27,8,8506.83,10,C1,1,Rank-One 1.50x Reallocation,8,2025-08,7,-1423.92
1286.79,2024-09-04,8,4578.06,10,C2,3,Off-High Substitution,8,2024-09,5,-307.88
671.58,2024-09-11,8,-14736.11,10,C2,5,Off-High Substitution,8,2024-09,3,-9333.76
895.84,2024-09-18,8,-2926.3,10,C2,2,Off-High Substitution,8,2024-09,6,-6846.25
1603.62,2024-09-25,8,3472.18,10,C2,3,Off-High Substitution,8,2024-09,5,-1272.12
2138.3,2024-10-02,8,4430.81,10,C2,2,Off-High Substitution,8,2024-10,6,-305.67
855.54,2024-10-09,8,1547.9,10,C2,2,Off-High Substitution,8,2024-10,6,-1729.83
7001.53,2024-10-16,8,7983.16,10,C2,4,Off-High Substitution,8,2024-10,4,-3314.15
3427.83,2024-10-23,8,4682.32,10,C2,2,Off-High Substitution,8,2024-10,6,-2310.72
3532.9,2024-10-30,8,1457.3,10,C2,4,Off-High Substitution,8,2024-10,4,-2773.24
3541.44,2024-11-06,7,5368.11,10,C2,2,Off-High Substitution,8,2024-11,5,-1599.81
1544.4,2024-11-13,8,-3973.44,10,C2,4,Off-High Substitution,8,2024-11,4,-2750.7
3703.76,2024-11-20,8,-1854.98,10,C2,4,Off-High Substitution,8,2024-11,4,-3210.49
1677.49,2024-11-27,8,5303.09,10,C2,2,Off-High Substitution,8,2024-11,6,-778.25
3956.45,2024-12-04,8,-27469.49,10,C2,6,Off-High Substitution,8,2024-12,2,-18001.98
1043.59,2024-12-11,8,-51670.88,10,C2,5,Off-High Substitution,8,2024-12,3,-31600.53
330.97,2024-12-18,8,-5846.35,10,C2,7,Off-High Substitution,8,2024-12,1,-2157.31
2845.52,2024-12-24,8,10025.48,10,C2,0,Off-High Substitution,8,2024-12,8,562.07
1841.9,2024-12-31,8,5490.97,10,C2,1,Off-High Substitution,8,2024-12,7,-143.05
1621.2,2025-01-08,8,5265.84,10,C2,1,Off-High Substitution,8,2025-01,7,-48.93
1989.0,2025-01-15,8,4247.75,10,C2,2,Off-High Substitution,8,2025-01,6,-94.09
952.98,2025-01-22,8,1900.96,10,C2,3,Off-High Substitution,8,2025-01,5,-239.4
999.16,2025-01-29,8,1761.84,10,C2,2,Off-High Substitution,8,2025-01,6,-718.37
967.68,2025-02-05,8,1977.8,10,C2,3,Off-High Substitution,8,2025-02,5,-366.52
1429.52,2025-02-12,8,4869.97,10,C2,1,Off-High Substitution,8,2025-02,7,-3.18
2029.93,2025-02-19,8,7935.18,10,C2,0,Off-High Substitution,8,2025-02,8,284.9
1842.66,2025-02-26,8,6739.96,10,C2,0,Off-High Substitution,8,2025-02,8,71.96
2370.9,2025-03-05,8,3047.23,10,C2,2,Off-High Substitution,8,2025-03,6,-510.27
570.59,2025-03-12,8,-17884.37,10,C2,3,Off-High Substitution,8,2025-03,5,-18859.19
1233.01,2025-03-19,8,3071.67,10,C2,0,Off-High Substitution,8,2025-03,8,46.54
